MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2012050201,1,1,1,0.000000,0,0,0,0,Íõð©,1,14,1,10,1,6,1,4,0,0,7,4
2012050201,1,1,2,28.847542,0,0,0,0,±«Ä·,14,9,10,3,6,5,4,5,0,0,4,3
2012050201,1,1,3,28.779687,0,0,0,0,Íõð©,9,22,3,16,5,8,5,10,0,0,3,4
2012050201,1,1,4,29.409042,0,0,0,0,±«Ä·,22,13,16,3,8,9,10,7,0,3,4,3
2012050201,1,1,5,29.953187,0,0,0,0,Íõð©,13,22,3,16,9,8,7,10,3,10,3,4
2012050201,1,1,6,31.219479,0,0,0,0,±«Ä·,22,25,16,25,8,13,10,13,10,1,4,11
2012050201,1,2,1,31.219479,1,0,0,0,Íõð©,1,12,1,10,1,6,1,4,0,0,7,4
2012050201,1,2,2,43.862437,1,0,0,0,±«Ä·,12,7,10,9,6,5,4,5,0,9,4,3
2012050201,1,2,3,44.505688,1,0,0,0,Íõð©,7,26,9,26,5,14,5,14,9,2,3,12
2012050201,1,3,1,49.016292,1,0,1,0,±«Ä·,2,7,2,3,2,11,2,3,0,0,8,3
2012050201,1,3,2,59.226125,1,0,1,0,Íõð©,7,22,3,16,11,8,3,10,0,0,3,4
2012050201,1,3,3,59.852958,1,0,1,0,±«Ä·,22,21,16,15,8,11,10,11,0,9,4,3
2012050201,1,3,4,60.359521,1,0,1,0,Íõð©,21,26,15,26,11,14,11,14,9,2,3,12
2012050201,1,4,1,61.929208,1,0,2,0,±«Ä·,2,9,2,3,2,5,2,3,0,9,8,3
2012050201,1,4,2,74.033667,1,0,2,0,Íõð©,9,26,3,26,5,14,3,14,9,2,3,12
2012050201,1,5,1,74.654375,1,0,3,0,Íõð©,1,6,1,14,9,6,1,4,0,0,7,8
2012050201,1,5,2,97.734729,1,0,3,0,±«Ä·,6,7,14,3,6,5,4,7,0,9,8,3
2012050201,1,5,3,98.208000,1,0,3,0,Íõð©,7,26,3,26,5,14,7,14,9,2,3,12
2012050201,1,6,1,99.505437,1,0,4,0,Íõð©,1,14,1,10,1,12,1,4,0,0,7,4
2012050201,1,6,2,114.920437,1,0,4,0,±«Ä·,14,21,10,15,12,7,4,9,0,0,4,3
2012050201,1,6,3,115.531583,1,0,4,0,Íõð©,21,10,15,16,7,6,9,12,0,10,3,4
2012050201,1,6,4,116.062042,1,0,4,0,±«Ä·,10,25,16,25,6,13,12,13,10,1,4,11
2012050201,1,7,1,116.660312,2,0,4,0,±«Ä·,2,11,2,13,2,7,2,3,0,0,8,7
2012050201,1,7,2,144.671792,2,0,4,0,Íõð©,11,12,13,12,7,6,3,12,0,0,7,8
2012050201,1,7,3,145.336646,2,0,4,0,±«Ä·,12,21,12,3,6,7,12,7,0,0,8,3
2012050201,1,7,4,145.910062,2,0,4,0,Íõð©,21,22,3,16,7,8,7,10,0,10,3,4
2012050201,1,7,5,146.489062,2,0,4,0,±«Ä·,22,25,16,25,8,13,10,13,10,1,4,11
2012050201,1,8,1,146.489062,3,0,4,0,±«Ä·,2,13,2,9,2,11,2,3,0,0,8,3
2012050201,1,8,2,169.368563,3,0,4,0,Íõð©,13,22,9,4,11,10,3,6,0,0,3,4
2012050201,1,8,3,169.979521,3,0,4,0,±«Ä·,22,15,4,3,10,5,6,5,0,9,4,3
2012050201,1,8,4,170.586042,3,0,4,0,Íõð©,15,26,3,26,5,14,5,14,9,2,3,12
2012050201,1,9,1,171.401500,3,0,5,0,Íõð©,1,6,1,14,1,6,1,4,0,0,7,4
2012050201,1,9,2,186.669000,3,0,5,0,±«Ä·,6,7,14,3,6,5,4,7,0,0,4,3
2012050201,1,9,3,187.087812,3,0,5,0,Íõð©,7,20,3,16,5,8,7,10,0,10,3,4
2012050201,1,9,4,187.826729,3,0,5,0,±«Ä·,20,25,16,25,8,13,10,13,10,1,4,11
2012050201,1,10,1,188.581833,4,0,5,0,Íõð©,1,12,1,12,1,6,1,4,0,0,7,8
2012050201,1,10,2,205.770146,4,0,5,0,±«Ä·,12,21,12,3,6,9,4,7,0,0,8,3
2012050201,1,10,3,206.439604,4,0,5,0,Íõð©,21,16,3,16,9,6,7,10,0,10,3,4
2012050201,1,10,4,207.979729,4,0,5,0,±«Ä·,16,25,16,25,6,13,10,13,10,1,4,11
2012050201,1,11,1,207.979729,5,0,5,0,±«Ä·,2,7,2,3,2,11,2,3,0,0,8,3
2012050201,1,11,2,231.203729,5,0,5,0,Íõð©,7,16,3,4,11,10,3,6,0,0,3,4
2012050201,1,11,3,231.793187,5,0,5,0,±«Ä·,16,9,4,3,10,5,6,5,0,0,4,3
2012050201,1,11,4,232.339833,5,0,5,0,Íõð©,9,22,3,16,5,8,5,10,0,0,3,4
2012050201,1,11,5,232.841042,5,0,5,0,±«Ä·,22,15,16,3,8,5,10,7,0,9,4,3
2012050201,1,11,6,233.337104,5,0,5,0,Íõð©,15,26,3,26,5,14,7,14,9,2,3,12
2012050201,1,12,1,236.535937,5,0,6,0,±«Ä·,2,7,2,9,2,5,2,3,0,0,8,3
2012050201,1,12,2,250.605000,5,0,6,0,Íõð©,7,22,9,16,5,8,3,10,0,10,3,4
2012050201,1,12,3,251.098771,5,0,6,0,±«Ä·,22,25,16,25,8,13,10,13,10,1,4,11
2012050201,1,13,1,252.019000,6,0,6,0,Íõð©,1,12,1,10,1,6,1,4,0,0,7,4
2012050201,1,13,2,276.440292,6,0,6,0,±«Ä·,12,21,10,15,6,7,4,9,0,0,4,3
2012050201,1,13,3,276.980854,6,0,6,0,Íõð©,21,16,15,4,7,6,9,8,0,0,3,4
2012050201,1,13,4,277.320313,6,0,6,0,±«Ä·,16,21,4,15,6,7,8,9,0,0,4,3
2012050201,1,13,5,277.886479,6,0,6,0,Íõð©,21,8,15,4,7,6,9,8,0,0,3,4
2012050201,1,13,6,278.390396,6,0,6,0,±«Ä·,8,13,4,3,6,9,8,5,0,0,4,3
2012050201,1,13,7,279.047146,6,0,6,0,Íõð©,13,14,3,4,9,6,5,6,0,0,3,4
2012050201,1,13,8,279.750542,6,0,6,0,±«Ä·,14,21,4,3,6,9,6,5,0,0,4,3
2012050201,1,13,9,280.407521,6,0,6,0,Íõð©,21,16,3,4,9,6,5,6,0,0,3,4
2012050201,1,13,10,281.098271,6,0,6,0,±«Ä·,16,21,4,15,6,7,6,9,0,0,4,3
2012050201,1,13,11,281.690729,6,0,6,0,Íõð©,21,14,15,4,7,6,9,8,0,0,3,4
2012050201,1,13,12,282.401167,6,0,6,0,±«Ä·,14,21,4,3,6,7,8,5,0,9,4,3
2012050201,1,13,13,283.349187,6,0,6,0,Íõð©,21,26,3,26,7,14,5,14,9,2,3,12
2012050201,1,14,1,283.899563,6,0,7,0,Íõð©,1,16,1,4,1,8,1,4,0,0,7,4
2012050201,1,14,2,303.588146,6,0,7,0,±«Ä·,16,15,4,3,8,5,4,5,0,0,4,3
2012050201,1,14,3,303.588146,6,0,7,0,Íõð©,15,16,3,4,5,10,5,6,0,0,3,4
2012050201,1,14,4,304.297250,6,0,7,0,±«Ä·,16,21,4,15,10,7,6,9,0,9,4,3
2012050201,1,14,5,304.789646,6,0,7,0,Íõð©,21,26,15,26,7,14,9,14,9,2,3,12
